"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 23 12:08:48 EET 2022","Tue Aug 23 12:09:25 EET 2022","36962","Default suite","Default test","Ejada.seleniumCloud.LazyLoading","Ejada.seleniumCloud.LazyLoading","test","test",""
"failed","Mon Aug 22 15:40:14 EET 2022","Mon Aug 22 15:40:14 EET 2022","10","Default suite","Default test","Ejada.seleniumCloud.practice","Ejada.seleniumCloud.practice","softAssertion","softAssertion",""
"passed","Mon Aug 22 15:40:14 EET 2022","Mon Aug 22 15:40:14 EET 2022","2","Default suite","Default test","Ejada.seleniumCloud.practice","Ejada.seleniumCloud.practice","matchTest","matchTest",""
"broken","Sun Aug 21 18:38:11 EET 2022","Sun Aug 21 18:38:14 EET 2022","2774","Default suite","Default test","Ejada.seleniumCloud.DemoApplitools","Ejada.seleniumCloud.DemoApplitools","verificationTest","verificationTest",""
"passed","Sun Aug 21 19:58:05 EET 2022","Sun Aug 21 19:58:05 EET 2022","204","Default suite","Default test","Ejada.seleniumCloud.Test_1","Ejada.seleniumCloud.Test_1","open_test","open_test",""
"broken","Mon Aug 22 15:40:13 EET 2022","Mon Aug 22 15:40:13 EET 2022","53","Default suite","Default test","Ejada.seleniumCloud.practice","Ejada.seleniumCloud.practice","AssertJ","AssertJ",""
"passed","Fri Aug 26 12:59:18 EET 2022","Fri Aug 26 12:59:26 EET 2022","7948","Default suite","Default test","Ejada.seleniumCloud.TestLazyLoading","Ejada.seleniumCloud.TestLazyLoading","testLazyLoading","testLazyLoading",""
"broken","Tue Aug 16 15:44:41 EET 2022","Tue Aug 16 15:44:41 EET 2022","5","Default suite","Default test","Ejada.seleniumCloud.DemoApplitools","Ejada.seleniumCloud.DemoApplitools","SetUp","SetUp",""
"failed","Wed Aug 17 14:33:46 EET 2022","Wed Aug 17 14:34:12 EET 2022","26107","Default suite","Default test","Ejada.seleniumCloud.ContnetMatchLevel","Ejada.seleniumCloud.ContnetMatchLevel","verificationTest","verificationTest",""
"passed","Mon Aug 22 15:40:14 EET 2022","Mon Aug 22 15:40:14 EET 2022","6","Default suite","Default test","Ejada.seleniumCloud.practice","Ejada.seleniumCloud.practice","arrayMatchTest","arrayMatchTest",""
"passed","Mon Aug 29 15:14:00 EET 2022","Mon Aug 29 15:14:03 EET 2022","2709","Default suite","Default test","Ejada.seleniumCloud.LoginTest","Ejada.seleniumCloud.LoginTest","loginValidInput","login with valid credentials ",""
"failed","Sat Aug 20 15:20:46 EET 2022","Sat Aug 20 15:21:15 EET 2022","29269","Default suite","Default test","Ejada.seleniumCloud.DynamicPage","Ejada.seleniumCloud.DynamicPage","verificationTest","verificationTest",""
